syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at,all_instructors_kanji,all_instructors_kana
B000001400,2025,,,,,,,,,2025-06-01 21:41:30,2025-06-01 12:41:30,太田　侑樹,オオタ　ユウキ
B000001410,2025,特別基礎演習,チームワークを通じて組織におけるイノベーションの「生み出し方」を体験的・経験的に学修する,経営学部,1年次～4年次,深草,後期　木５,2,特別基礎演習１年生,2025-06-01 21:14:50,2025-06-01 12:14:51,坂本　雅則,サカモト　マサノリ
B000001420,2025,,,,,,,,,2025-06-01 21:42:22,2025-06-01 12:42:22,潘　宝燕,ハン　ホウエン
B000001430,2025,特別基礎演習,商業簿記を会計理論とともに深く学ぶ（チーム活動とその報告）,経営学部,1年次～4年次,深草,後期　月５(B302),2,特別基礎演習１年生,2025-06-01 21:15:09,2025-06-01 12:15:10,濵田　崇嘉,ハマダ　タカヨシ
B000001450,2025,,,,,,,,,2025-06-01 21:43:27,2025-06-01 12:43:27,井手　健二,イデ　ケンジ
B000001460,2025,生産管理論,生産管理の側面から各国の製造業の現状と展望を考える,経営学部,1年次～4年次,深草,後期　月１(B302),2,2024生以前入学生→旧：オペレーションズ・マネジメント,2025-06-01 21:15:34,2025-06-01 12:15:34,潘　宝燕,ハン　ホウエン
B000001470,2025,,,,,,,,,2025-06-01 21:43:27,2025-06-01 12:43:27,河邉　純,カワベ　ジュン
B000001480,2025,,,,,,,,,2025-06-01 21:43:27,2025-06-01 12:43:27,河邉　純,カワベ　ジュン
B000001490,2025,観光経営論,,経営学部,1年次～4年次,深草,後期　月１(B304),2,,2025-06-01 21:16:06,2025-06-01 12:16:06,竹谷　多賀子,タケヤ　タカコ
B000001500,2025,産業技術史,,経営学部,2年次～4年次,深草,前期　金１(B201),2,２０２４年度以前入学生用,2025-06-01 21:16:06,2025-06-01 12:16:06,柴田　喜悠,シバタ　ヨシハル
B000001510,2025,社会的企業論,社会的企業と社会包摂,経営学部,2年次～4年次,深草,後期　月３(B306),2,２０２４年度以前入学生用,2025-06-01 21:16:26,2025-06-01 12:16:26,竹谷　多賀子,タケヤ　タカコ
B000001520,2025,,,,,,,,,2025-06-01 21:43:41,2025-06-01 12:43:42,遠藤　明子,エンドウ　アキコ
B000001930,2025,演習,経営戦略・ビジネスモデルを中心とした企業分析,経営学部,2年次～4年次,深草,後期　火４(B306),2,演習２年生,2025-06-01 21:16:38,2025-06-01 12:16:39,宮本　琢也,ミヤモト　タクヤ
B000001940,2025,演習,経営文明の研究ー人間と組織と社会について深く考えるー,経営学部,2年次～4年次,深草,後期　火４(B307),2,演習２年生,2025-06-01 21:16:56,2025-06-01 12:16:56,河邉　純,カワベ　ジュン
B000001950,2025,演習,自身のキャリアに真摯に向き合い、世の中への貢献を目指す,経営学部,2年次～4年次,深草,後期　火４(B308),2,演習２年生,2025-06-01 21:17:05,2025-06-01 12:17:05,太田　侑樹,オオタ　ユウキ
B000001960,2025,演習,チームワークを通じて組織におけるイノベーションの生み出し方を経験を通じて獲得する,経営学部,2年次～4年次,深草,後期　月４,2,演習２年生,2025-06-01 21:17:08,2025-06-01 12:17:09,坂本　雅則,サカモト　マサノリ
B000001990,2025,演習,アクティブ・ラーニング（能動的学修）を通じて国際経営の知識を身につけて、国際的な人材となることを目指す,経営学部,2年次～4年次,深草,後期　水２(B301),2,演習２年生,2025-06-01 21:17:28,2025-06-01 12:17:28,于　健,ウ　ケン
B000002000,2025,演習,社会志向マーケティングと調査実践,経営学部,2年次～4年次,深草,後期　水２(B302),2,演習２年生,2025-06-01 21:17:37,2025-06-01 12:17:39,遠藤　明子,エンドウ　アキコ
B000002010,2025,演習,職業会計人になるための専門的な能力の習得をめざす,経営学部,2年次～4年次,深草,後期　水２(B303),2,演習２年生,2025-06-01 21:17:41,2025-06-01 12:17:41,藤木　潤司,フジキ　ジユンジ
B000002020,2025,演習,ファイナンス・会計領域の研究を探究する。,経営学部,2年次～4年次,深草,後期　水２(B304),2,演習２年生,2025-06-01 21:18:01,2025-06-01 12:18:01,深谷　優介,フカヤ　ユウスケ
B000002030,2025,演習,技術経営・生産管理・国際経営分野のテーマを取り扱う,経営学部,2年次～4年次,深草,後期　水２(B305),2,演習２年生,2025-06-01 21:18:10,2025-06-01 12:18:11,潘　宝燕,ハン　ホウエン
B000002040,2025,演習,実践的ビジネスデータ分析･OR活用,経営学部,2年次～4年次,深草,後期　水２(B306),2,演習２年生,2025-06-01 21:18:13,2025-06-01 12:18:14,林　千宏,ハヤシ　チヒロ
B000002050,2025,演習,財務諸表の理論と分析手法をより深く学ぶ,経営学部,2年次～4年次,深草,後期　水２(B307),2,演習２年生,2025-06-01 21:18:32,2025-06-01 12:18:32,濵田　崇嘉,ハマダ　タカヨシ
B000002060,2025,演習,デジタルメディアを活用した組織の情報発信について考える,経営学部,2年次～4年次,深草,後期　水２(B308),2,演習２年生,2025-06-01 21:18:40,2025-06-01 12:18:40,西岡　久充,ニシオカ　ヒサミツ
