syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at
C3FW1B0120,2025,ソーシャルワーク実習指導Ⅱ,ソーシャルワークの専門性を体験的に学ぶ,社会学部,3年次～4年次,深草,後期　木３・木４(C325)（ペア）,2,"第2学期第8週目まで開講
社会福祉士指定科目",2025-06-02 00:57:17,2025-06-01 15:57:18
C3FW1B0110,2025,ソーシャルワーク実習指導Ⅱ,ソーシャルワークの専門性を体験的に学ぶ,社会学部,3年次～4年次,深草,後期　木３・木４(C324)（ペア）,2,"第2学期第8週目まで開講
社会福祉士指定科目",2025-06-02 00:57:18,2025-06-01 15:57:20
C3FW1B0140,2025,ソーシャルワーク実習指導Ⅱ,ソーシャルワークの専門性を体験的に学ぶ,社会学部,3年次～4年次,深草,後期　木３・木４(C326)（ペア）,2,"第2学期第8週目まで開講
社会福祉士指定科目",2025-06-02 00:57:22,2025-06-01 15:57:25
C3FW1B0150,2025,ソーシャルワーク実習指導Ⅱ,ソーシャルワークの専門性を体験的に学ぶ,社会学部,3年次～4年次,深草,後期　木３・木４(C327)（ペア）,2,"第2学期第8週目まで開講
社会福祉士指定科目",2025-06-02 00:57:25,2025-06-01 15:57:27
C3FW1B0160,2025,ソーシャルワーク実習指導Ⅱ,ソーシャルワークの専門性を体験的に学ぶ,社会学部,3年次～4年次,深草,後期　木３・木４(C328)（ペア）,2,"第2学期第8週目まで開講
社会福祉士指定科目",2025-06-02 00:57:26,2025-06-01 15:57:27
C3FW1B0180,2025,ソーシャルワーク実習指導Ⅱ,ソーシャルワークの専門性を体験的に学ぶ,社会学部,3年次～4年次,深草,後期　木３・木４(C330)（ペア）,2,"第2学期第8週目まで開講
社会福祉士指定科目",2025-06-02 00:57:26,2025-06-01 15:57:27
C3FW1B0170,2025,ソーシャルワーク実習指導Ⅱ,ソーシャルワークの専門性を体験的に学ぶ,社会学部,3年次～4年次,深草,後期　木３・木４(C329)（ペア）,2,"第2学期第8週目まで開講
社会福祉士指定科目",2025-06-02 00:57:26,2025-06-01 15:57:27
C3FW1C0110,2025,ソーシャルワーク実習指導Ⅲ,,社会学部,3年次～4年次,深草,後期　集中(C390),2,"第2学期第9週目以降開講（木曜2講時・3講時）
社会福祉士指定科目",2025-06-02 00:57:51,2025-06-01 15:57:51
C3FW1C0120,2025,ソーシャルワーク実習指導Ⅲ,,社会学部,3年次～4年次,深草,後期　集中(C391),2,"第2学期第9週目以降開講（木曜2講時・3講時）
社会福祉士指定科目",2025-06-02 00:57:51,2025-06-01 15:57:51
C3FW1C0140,2025,ソーシャルワーク実習指導Ⅲ,,社会学部,3年次～4年次,深草,後期　集中(C392),2,"第2学期第9週目以降開講（木曜2講時・3講時）
社会福祉士指定科目",2025-06-02 00:57:53,2025-06-01 15:57:54
C3FW1C0150,2025,ソーシャルワーク実習指導Ⅲ,,社会学部,3年次～4年次,深草,後期　集中(C393),2,"第2学期第9週目以降開講（木曜2講時・3講時）
社会福祉士指定科目",2025-06-02 00:57:59,2025-06-01 15:58:00
C3FW1C0170,2025,ソーシャルワーク実習指導Ⅲ,,社会学部,3年次～4年次,深草,後期　集中(C395),2,"第2学期第9週目以降開講（木曜2講時・3講時）
社会福祉士指定科目",2025-06-02 00:58:02,2025-06-01 15:58:06
C3FW1C0160,2025,ソーシャルワーク実習指導Ⅲ,,社会学部,3年次～4年次,深草,後期　集中(C394),2,"第2学期第9週目以降開講（木曜2講時・3講時）
社会福祉士指定科目",2025-06-02 00:58:02,2025-06-01 15:58:06
C3FWSW1020,2025,ソーシャルワーク実習Ⅰ,,社会学部,3年次～4年次,深草,後期　集中(C341),6,,2025-06-02 00:58:05,2025-06-01 15:58:06
