科目名,課程,年度,科目区分,科目小区分,必須度,学修プログラム
アナログ電子回路,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[8,9,11]"
計算機制御・演習,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[10,11]"
量子力学【隔年開講】,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[8]
薄膜デバイス工学,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[8,17]"
ディジタル信号処理・演習,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[9,10,11]"
計測工学,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[8,9,11]"
ネットワーク通信システム,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[9]
回路設計・演習,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[8,9,11]"
結晶工学【隔年開講】,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[8]
無線通信工学,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[9]
計算機アーキテクチャ,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[10]
専門基礎研究,電子情報通信,2025,専攻科目 ,専門応用科目,選必,null
応用セミナー,電子情報通信,2025,専攻科目 ,専門応用科目,必修,null
特別研究,電子情報通信,2025,専攻科目 ,専門応用科目,必修,null
科学技術英語,電子情報通信,2025,専攻科目 ,専門応用科目,必修,null
