"{projectルートからのシラバスjsonのpath}", "ISBN", "error message", "time"
"src/syllabus/2025/json/Y005049010.json", "9784759819328", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005050010.json", "4785334169", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005051010.json", "9784807909735", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005051010.json", "4759808280", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005052010.json", "9784526075278", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005052010.json", "9784140884409", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005052010.json", "9784486020981", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005053010.json", "4753651894", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005055010.json", "9784782706671", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005056010.json", "4320044088", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005057010.json", "9784065133415", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005061010.json", "9784627245419", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005061010.json", "4254145934", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005061010.json", "4807905511", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005061010.json", "4621039962", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005066010.json", "9784254140828", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005068010.json", "9784061568020", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005068010.json", "9784782705575", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005068010.json", "4061543121", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005069010.json", "4759808167", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005070010.json", "9784320043800", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005072010.json", "9784621082607", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005072010.json", "9784320071711", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005074010.json", "8978406156020", "不正ISBN: cd違反", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005079020.json", "9784759814798", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:04"
"src/syllabus/2025/json/Y005079020.json", "9784061543232", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005079020.json", "9784759811919", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005080400.json", "4759808345", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005080700.json", "97835273464", "不正ISBN: 桁数違反", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005080700.json", "9784431542902", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005080700.json", "9783527313655", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005081130.json", "0471049956", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005081130.json", "9784621086858", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y005082430.json", "9784759810806", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006001010.json", "9784807907830", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006006010.json", "9784765534178", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006007010.json", "9784320057418", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006010010.json", "9784780609509", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006010010.json", "9784486019220", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006010010.json", "9784862763099", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006015010.json", "9784254180442", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006016010.json", "9784771026339", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006016010.json", "9784771030565", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006016010.json", "9784812209165", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006016010.json", "9784812207383", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006017010.json", "4782826117", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006020010.json", "9784761524449", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006020010.json", "4563045187", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006020010.json", "4563042730", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006023010.json", "978053247", "不正ISBN: 桁数違反", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006024010.json", "9784130623117", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006024010.json", "9784815805999", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006025010.json", "4806710865", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006025010.json", "4486014197", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006025010.json", "4806722235", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006026010.json", "4130627252", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006028010.json", "9784799106945", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006028010.json", "9784623095247", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006028010.json", "9784820747529", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006028010.json", "4883591190", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006029010.json", "9784829965344", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006030010.json", "9784130602181", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006030010.json", "9784829921760", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006032010.json", "4765531236", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006032010.json", "9784862401274", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:05"
"src/syllabus/2025/json/Y006032010.json", "4339052019", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006034010.json", "844520075", "不正ISBN: 桁数違反", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006034010.json", "320080266", "不正ISBN: 桁数違反", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006034010.json", "9784627666634", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006038010.json", "4785660341", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006039010.json", "4765531899", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006039010.json", "4621049569", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006040010.json", "9784816358555", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006042010.json", "9784860643430", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
"src/syllabus/2025/json/Y006042010.json", "9784829965207", "不正CiNii データ: Null検知 - タイトル, 著者が空", "2025-06-20 12:12:06"
