ファイル名,行番号,科目名,学部課程,年度,科目区分,科目小区分,必須度,エラータイプ,エラー詳細,正規化後科目名,処理日時
機械_2025.csv,61,先端理工インタ-ンシップII,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T18:59:54.411800
機械_2025.csv,63,弾性構造力学,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 弾性構造力学 (正規化後: 弾性構造力学),弾性構造力学,2025-06-25T18:59:54.414700
機械_2025.csv,69,先進材料科学,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 先進材料科学 (正規化後: 先進材料科学),先進材料科学,2025-06-25T18:59:54.425342
機械_2025.csv,83,教養指導,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: 教養指導 (正規化後: 教養指導),教養指導,2025-06-25T18:59:54.445141
環境_2025.csv,2,環境実験IA,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 環境実験IA (正規化後: 環境実験IA),環境実験IA,2025-06-25T18:59:54.462690
環境_2025.csv,4,キャリア実習·実習指導,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T18:59:54.465472
環境_2025.csv,7,ASEAN グロ-バルプログラム,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T18:59:54.469129
環境_2025.csv,10,プロジェクトリサ-チ I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ I (正規化後: プロジェクトリサ-チ I),プロジェクトリサ-チ I,2025-06-25T18:59:54.473122
環境_2025.csv,11,プロジェクトリサ-チ II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ II (正規化後: プロジェクトリサ-チ II),プロジェクトリサ-チ II,2025-06-25T18:59:54.474812
環境_2025.csv,12,先端理工キャリア実習 I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 I (正規化後: 先端理工キャリア実習 I),先端理工キャリア実習 I,2025-06-25T18:59:54.476450
環境_2025.csv,13,先端理工インタ-ンシップ I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ I (正規化後: 先端理工インタ-ンシップ I),先端理工インタ-ンシップ I,2025-06-25T18:59:54.478251
環境_2025.csv,14,先端理工キャリア実習 II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 II (正規化後: 先端理工キャリア実習 II),先端理工キャリア実習 II,2025-06-25T18:59:54.479781
環境_2025.csv,15,先端理工インタ-ンシップ II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ II (正規化後: 先端理工インタ-ンシップ II),先端理工インタ-ンシップ II,2025-06-25T18:59:54.481112
環境_2025.csv,21,生態学概論 I,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 生態学概論 I (正規化後: 生態学概論 I),生態学概論 I,2025-06-25T18:59:54.487218
環境_2025.csv,22,生態学概論 II,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 生態学概論 II (正規化後: 生態学概論 II),生態学概論 II,2025-06-25T18:59:54.489239
環境_2025.csv,23,地域環境概論 A,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地域環境概論 A (正規化後: 地域環境概論 A),地域環境概論 A,2025-06-25T18:59:54.490760
環境_2025.csv,24,地域環境概論 B,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地域環境概論 B (正規化後: 地域環境概論 B),地域環境概論 B,2025-06-25T18:59:54.492279
環境_2025.csv,25,地球環境概論 A,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地球環境概論 A (正規化後: 地球環境概論 A),地球環境概論 A,2025-06-25T18:59:54.494149
環境_2025.csv,26,地球環境概論 B,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地球環境概論 B (正規化後: 地球環境概論 B),地球環境概論 B,2025-06-25T18:59:54.495947
環境_2025.csv,32,クラウドコンピュ-ティング演習,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T18:59:54.502592
環境_2025.csv,36,環境実習 IIA,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 環境実習 IIA (正規化後: 環境実習 IIA),環境実習 IIA,2025-06-25T18:59:54.509617
環境_2025.csv,37,環境実習 IIIA,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 環境実習 IIIA (正規化後: 環境実習 IIIA),環境実習 IIIA,2025-06-25T18:59:54.511267
環境_2025.csv,41,大気環境科学課程,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 大気環境科学課程 (正規化後: 大気環境科学課程),大気環境科学課程,2025-06-25T18:59:54.515935
環境_2025.csv,45,セミナ- I,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- I (正規化後: セミナ- I),セミナ- I,2025-06-25T18:59:54.519874
環境_2025.csv,46,セミナ- II,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- II (正規化後: セミナ- II),セミナ- II,2025-06-25T18:59:54.522187
環境_2025.csv,47,セミナ- III,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- III (正規化後: セミナ- III),セミナ- III,2025-06-25T18:59:54.523563
環境_2025.csv,48,SDGs 概論,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: SDGs 概論 (正規化後: SDGs 概論),SDGs 概論,2025-06-25T18:59:54.525253
環境_2025.csv,51,水環境科学課程,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 水環境科学課程 (正規化後: 水環境科学課程),水環境科学課程,2025-06-25T18:59:54.528366
環境_2025.csv,52,化学工学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 化学工学 I (正規化後: 化学工学 I),化学工学 I,2025-06-25T18:59:54.529977
環境_2025.csv,53,化学工学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 化学工学 II (正規化後: 化学工学 II),化学工学 II,2025-06-25T18:59:54.531592
環境_2025.csv,76,土木工学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 土木工学 I (正規化後: 土木工学 I),土木工学 I,2025-06-25T18:59:54.551944
環境_2025.csv,77,土木工学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 土木工学 II (正規化後: 土木工学 II),土木工学 II,2025-06-25T18:59:54.553391
環境_2025.csv,79,廃棄物管理学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 I (正規化後: 廃棄物管理学 I),廃棄物管理学 I,2025-06-25T18:59:54.556934
環境_2025.csv,80,廃棄物管理学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 II (正規化後: 廃棄物管理学 II),廃棄物管理学 II,2025-06-25T18:59:54.558422
環境_2025.csv,89,景観生態学,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 景観生態学 (正規化後: 景観生態学),景観生態学,2025-06-25T18:59:54.566573
環境_2025.csv,95,廃棄物処理施設設計,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物処理施設設計 (正規化後: 廃棄物処理施設設計),廃棄物処理施設設計,2025-06-25T18:59:54.573189
知能_2025.csv,6,キャリア実習·実習指導,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T18:59:54.598696
知能_2025.csv,7,ASEAN グロ-バルプログラム,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T18:59:54.600117
知能_2025.csv,11,先端理工キャリア実習I,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T18:59:54.604328
知能_2025.csv,12,先端理工インタ-ンシップI,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T18:59:54.606623
知能_2025.csv,13,先端理工キャリア実習II,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T18:59:54.608062
知能_2025.csv,14,先端理工インタ-ンシップII,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T18:59:54.609502
知能_2025.csv,36,クラウドコンピュ-ティング演習,知能情報メディア課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T18:59:54.629661
