ファイル名,行番号,科目名,学部課程,年度,属性名,属性値,エラータイプ,エラー詳細,正規化後科目名,処理日時
環境_2025.csv,89,景観生態学,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 景観生態学 (正規化後: 景観生態学),景観生態学,2025-06-30T10:14:27.420390
環境_2025.csv,95,廃棄物処理施設設計,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 廃棄物処理施設設計 (正規化後: 廃棄物処理施設設計),廃棄物処理施設設計,2025-06-30T10:14:27.428369
知能_2025.csv,6,キャリア実習·実習指導,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:14:27.453373
知能_2025.csv,7,ASEAN グロ-バルプログラム,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:14:27.453682
知能_2025.csv,11,先端理工キャリア実習I,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:14:27.456833
知能_2025.csv,12,先端理工インタ-ンシップI,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:14:27.457239
知能_2025.csv,13,先端理工キャリア実習II,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:14:27.457714
知能_2025.csv,14,先端理工インタ-ンシップII,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:14:27.458105
知能_2025.csv,36,クラウドコンピュ-ティング演習,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:14:27.476806
知能_2025.csv,40,知能情報メディア課程演習,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程演習 (正規化後: 知能情報メディア課程演習),知能情報メディア課程演習,2025-06-30T10:14:27.479840
知能_2025.csv,54,知能情報メディア課程セミナ-,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程セミナ- (正規化後: 知能情報メディア課程セミナ-),知能情報メディア課程セミナ-,2025-06-30T10:14:27.494096
電子_2025.csv,4,キャリア実習·実習指導,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:14:27.513145
電子_2025.csv,7,クラウドコンピュ-ティング演習,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:14:27.515228
電子_2025.csv,12,先端理工キャリア実習I,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:14:27.519156
電子_2025.csv,13,先端理工インタ-ンシップI,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:14:27.519577
電子_2025.csv,14,先端理工キャリア実習II,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:14:27.519967
電子_2025.csv,15,先端理工インタ-ンシップII,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:14:27.520357
電子_2025.csv,38,電子情報通信課程実験I,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験I (正規化後: 電子情報通信課程実験I),電子情報通信課程実験I,2025-06-30T10:14:27.541672
電子_2025.csv,48,電子情報通信課程実験II,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験II (正規化後: 電子情報通信課程実験II),電子情報通信課程実験II,2025-06-30T10:14:27.550652
電子_2025.csv,66,情報セキュリティ,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 情報セキュリティ (正規化後: 情報セキュリティ),情報セキュリティ,2025-06-30T10:14:27.575180
電子_2025.csv,76,量子力学[隔年開講],電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 量子力学[隔年開講] (正規化後: 量子力学[隔年開講]),量子力学[隔年開講],2025-06-30T10:14:27.588422
電子_2025.csv,82,結晶工学[隔年開講],電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 結晶工学[隔年開講] (正規化後: 結晶工学[隔年開講]),結晶工学[隔年開講],2025-06-30T10:14:27.596545
電子_2025.csv,84,計算機ア-キテクチャ,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 計算機ア-キテクチャ (正規化後: 計算機ア-キテクチャ),計算機ア-キテクチャ,2025-06-30T10:14:27.598052
